Model,RMSE,MAE,MAPE,R2
LSTM,0.5211088153895482,0.3675225201775052,0.3668538942730796,-0.20461683611131853
GRU,0.478882049277531,0.3486089100557218,0.3480305978964315,-0.01730037510727378
MLP,0.48188959742106735,0.35092771193560446,0.35026381911367976,-0.030118510509989926
BiLSTM,0.5254545616832815,0.3758998870849613,0.37503329622545506,-0.22479222851413816
Conv1D,0.5298396579368587,0.4077372966093179,0.4073818408541137,-0.2453201405775518
Transformer,0.495664609309006,0.3446764194264136,0.34398900938961835,-0.08985296747745708
