,0
2024-01-01,103.49053049625405
2024-02-01,103.87436901055909
2024-03-01,103.97445932084028
2024-04-01,104.32743342231896
2024-05-01,104.39874632025796
2024-06-01,104.38203242769542
2024-07-01,104.3943983489218
2024-08-01,103.62959330510326
2024-09-01,102.95616628512613
2024-10-01,103.06684897790218
2024-11-01,103.00906309962477
2024-12-01,103.13353739377018
