Model,Target,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2,CV_RMSE,CV_MAE,CV_MAPE,CV_R2
LSTM,cpi_yoy,1.8056657843161332,1.2815485449218749,1.1782849415563144,0.9068789433464747,1.2781242287078292,1.022909208355528,0.9943600096932758,-0.07416400741573148,3.62495361259946,2.94276146228879,2.6505882762482624,0.21406130645986635
LSTM,cpi_mom,0.42342737687299886,0.31195187791846235,0.3098697059684803,0.7022213078983323,0.42475564926334797,0.31482932350852344,0.31382047760525467,0.08695497494331372,0.5589914092557067,0.4324924067155703,0.42832501367553294,0.28148671190601143
GRU,cpi_yoy,1.2104249439611678,0.9199441667292665,0.8529621401091265,0.9581544878317261,1.1340267046624164,0.8309503081350608,0.8081502071427037,0.15438822021433196,2.1111028150930307,1.6109366402843381,1.450103558188243,0.6855514330244825
GRU,cpi_mom,0.11251011500306572,0.08149532975821658,0.08088186614203995,0.9789758286658643,0.10572758907568618,0.07582603223396105,0.07572007537760797,0.9434294338529295,0.21882773682288206,0.15656362480695865,0.15520926170115396,0.8806350854489662
