Model,Target,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
XGBoost,CPI MoM,0.0004434742670840791,0.0002308206664582459,0.00022942536579699383,0.9999996962669626,0.07639090718709916,0.019855853810030098,0.019951976129228378,0.9741133755155383
XGBoost,CPI YoY,0.036177003291166084,0.022840347006418644,0.021349300461120563,0.9999622783638816,0.09890398211073488,0.06305901022518345,0.06145176242347947,0.9934231059771804
