Model,Target,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
Hybrid,CPI MoM,0.07837573283123701,0.020294674144071517,0.020393265973892946,0.9727507020311248
Hybrid,CPI YoY,0.08079569453715184,0.050960558723000725,0.04975670474361051,0.9956109581117315
