Date,Forecasted cpi_mom,Forecasted cpi_yoy
2025-01-01,100.30412560672045,103.33082677522593
2025-02-01,100.2185200989233,103.6180938669508
2025-03-01,100.37266839392402,103.40659838501887
2025-04-01,100.4570933961064,103.16374555931232
2025-05-01,100.23601099820826,103.43446196705733
2025-06-01,100.51523295984704,103.38801511503947
2025-07-01,100.52705746977509,103.34527239888016
2025-08-01,100.49797784653956,103.50676259628167
2025-09-01,100.17981040137337,103.98909352816955
2025-10-01,100.15803746330914,104.39405589956527
2025-11-01,100.35501371312274,104.65814737400201
2025-12-01,100.62468400445992,104.396408175392
