Model,Target,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
Linear Regression,CPI YoY,2.203921896732819e-14,1.907107268471347e-14,1.767817309721204e-14,1.0,1.2427031950255783e-14,8.777292618213003e-15,8.513001953297976e-15,1.0
Linear Regression,CPI MoM,1.3890267871700194e-14,1.1675088818065586e-14,1.1613616166615318e-14,1.0,1.5700185702412447e-14,1.3165938927319504e-14,1.3118989568765981e-14,1.0
Ridge Regression,CPI YoY,0.08192280251724078,0.06831288697256989,0.06383526578914617,0.9998065650506467,0.2090067693871751,0.18164008057944409,0.17607400027670103,0.9706293205546679
Ridge Regression,CPI MoM,0.000528341680997447,0.0003736877100865336,0.00037106754612328547,0.9999995688931425,0.0007239527521747087,0.0005693818107375517,0.0005683508042911993,0.9999976750557915
Lasso Regression,CPI YoY,0.025916669381524884,0.017863061979941194,0.016430866955320398,0.9999806409643538,0.015413638651333432,0.011611617598827242,0.011283977881886464,0.9998402636945662
Lasso Regression,CPI MoM,0.005012613913178097,0.0031681422293132226,0.0031398393704823247,0.9999611953568169,0.0035572933623440927,0.0019984990768862456,0.0019987911863831847,0.9999438652939658
Elastic_net Regression,CPI YoY,0.024273658164563675,0.0185224164777839,0.017193545708722027,0.999983017727479,0.03211412949081165,0.0277052861602211,0.02688782506265272,0.9993065971905835
Elastic_net Regression,CPI MoM,0.004696792480308382,0.002995393302590931,0.0029687359045384156,0.9999659311143926,0.003425840398443757,0.0018623754749471121,0.0018630301393855859,0.9999479373414375
