Model,Target,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
LightGBM,CPI MoM,0.13319720653424866,0.05341533209340112,0.05263921292793807,0.9726003246275083,0.12055581536023213,0.0431398268748677,0.04324479416330302,0.9355284044906158
LightGBM,CPI YoY,0.04013011631528508,0.014924620916242267,0.013142903906683117,0.9999535841637206,0.23374974086151104,0.19490233284708935,0.1894968243826596,0.9632636871680861
