Model,Target,Train_RMSE,Train_MAE,Train_MAPE,Train_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
SVR (linear),CPI YoY,0.06589059317933126,0.05730016701957155,0.054042531255986695,0.9998748669076634,0.15760163697098373,0.13525325370798877,0.13132362334638523,0.9833000666948288
SVR (linear),CPI MoM,0.006541613497261029,0.0056323963653477005,0.005603974160489548,0.9999339116444586,0.012633901353067604,0.008927798426900658,0.008919926407718024,0.9992919449056954
SVR (rbf),CPI YoY,0.009837991432238239,0.009720071672271343,0.009159757298445145,0.9999972104238419,1.364068063215634,1.1567918718950108,1.128556533152124,-0.2510232194206332
SVR (rbf),CPI MoM,0.009195393787401298,0.008802417846097097,0.008757146303552638,0.9998694142316615,0.1490671163311587,0.10658974604875023,0.10664575242727345,0.9014274959515389
SVR (poly),CPI YoY,3.270681852627969,2.6231924365288353,2.4432881783093783,0.6916798240846819,2.122154646174933,1.8506707210649858,1.8082948102938323,-2.0279405634322614
SVR (poly),CPI MoM,0.6851246699324757,0.4961877220219513,0.49174101562564954,0.27507279931161266,0.502350737811839,0.356531598946619,0.355760899467024,-0.11945380694393415
