Model,Target,Test_RMSE,Test_MAE,Test_MAPE,Test_R2
Stacking,CPI MoM,12.499738156418239,12.49760152615683,12.46764082273063,-692.09684153231
Stacking,CPI YoY,397.19790816012807,397.18820723124287,385.624910648687,-106072.5719776121
