time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,interest_rate,month,year,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std,cpi_mom_diff
2005-04-01,100.6,108.49,100.39999999999999,108.31,4.611152257665639,4.686658002834359,0.10999999999999943,5.0301151049705135,4,2005,100.68333333333332,0.6589707309452533,109.16833333333334,0.9579317999389139,100.6
2005-05-01,100.5,108.06,100.5,108.06,4.61015772749913,4.68268662841592,-0.4299999999999926,6.231621056242643,5,2005,100.64999999999999,0.6571287406728386,109.25083333333335,0.788421418617105,100.5
2005-06-01,100.4,107.63,100.43333333333334,107.73666666666666,4.609162207257629,4.678699419276207,-0.4300000000000068,4.903819517609438,6,2005,100.61666666666666,0.6589707309452408,109.19833333333332,0.8764580924834129,100.4
2005-07-01,100.4,107.52,100.4,107.48666666666666,4.609162207257629,4.677676876774839,-0.10999999999999943,5.150773671166807,7,2005,100.60833333333333,0.6612087187091897,109.065,1.0021476937063059,100.4
2005-08-01,100.4,107.31,100.53333333333335,107.56,4.609162207257629,4.675721841939036,-0.20999999999999375,4.982644115147378,8,2005,100.59166666666665,0.663952809568126,108.84999999999998,1.0825894882183422,100.4
2005-09-01,100.8,107.85,100.53333333333335,107.81333333333333,4.613138355637268,4.680741372835166,0.539999999999992,4.415660981190234,9,2005,100.63333333333333,0.6596601512533544,108.66166666666668,1.0391765387982528,100.8
2005-10-01,100.4,108.28,100.53333333333335,108.20666666666666,4.609162207257629,4.684720464746101,0.4300000000000068,5.571411407257511,10,2005,100.66666666666667,0.634369168879078,108.49083333333334,0.8990344146853914,100.4
2005-11-01,100.4,108.49,100.53333333333335,108.49333333333333,4.609162207257629,4.686658002834359,0.20999999999999375,5.375966516343387,11,2005,100.68333333333334,0.6235285709476126,108.37416666666667,0.7845028342654436,100.4
2005-12-01,100.8,108.71,100.8,108.67333333333333,4.613138355637268,4.6886837862159085,0.21999999999999886,5.3955159735215235,12,2005,100.7,0.6237715199422026,108.29416666666667,0.6826879805509174,100.8
2006-01-01,101.2,108.82,101.36666666666667,108.63999999999999,4.617098756853365,4.689695141057779,0.10999999999999943,4.54530627260263,1,2006,100.70833333333333,0.6302356461650428,108.22333333333334,0.5600378775076108,101.2
