time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log
1995-12-01,100.3,112.91,100.3,112.91,4.60816570493798,4.726591050049042
1996-01-01,100.9,109.76,101.23333333333333,110.49000000000001,4.614129937270366,4.698296173088362
1996-02-01,102.5,108.8,101.39999999999999,109.33999999999999,4.62986280833456,4.6895113436130185
1996-03-01,100.8,109.46,101.13333333333333,108.91333333333334,4.613138365557903,4.695559194851529
1996-04-01,100.1,108.48,100.13333333333333,107.99000000000001,4.606169696311185,4.686565833410374
1996-05-01,99.5,106.03,99.7,106.39,4.600157654214798,4.6637220823689995
1996-06-01,99.5,104.66,99.43333333333334,104.87333333333333,4.600157654214798,4.65071701049881
1996-07-01,99.3,103.93,99.46666666666665,103.93,4.59814558112162,4.643717605222191
1996-08-01,99.6,103.2,99.73333333333333,103.37666666666667,4.601162174630713,4.636668862737385
1996-09-01,100.3,103.0,100.0,103.06666666666666,4.60816570493798,4.634728997938374
1996-10-01,100.1,103.0,100.43333333333334,103.27333333333333,4.606169696311185,4.634728997938374
1996-11-01,100.9,103.82,100.66666666666667,103.79,4.614129937270366,4.642658640031138
1996-12-01,101.0,104.55,100.89999999999999,104.27,4.615120526742249,4.649665435439444
1997-01-01,100.8,104.44,101.2,104.24000000000001,4.613138365557903,4.6486127534058035
1997-02-01,101.8,103.73,100.7,103.52,4.623010113939605,4.641791379084149
1997-03-01,99.5,102.39,100.23333333333333,102.60000000000001,4.600157654214798,4.628789061353304
1997-04-01,99.4,101.68,99.46666666666665,101.91666666666667,4.599152123722891,4.621830636715974
1997-05-01,99.5,101.68,99.66666666666667,101.88333333333334,4.600157654214798,4.621830636715974
1997-06-01,100.1,102.29,99.93333333333334,102.39666666666666,4.606169696311185,4.627811926245043
1997-07-01,100.2,103.22,100.13333333333333,103.08,4.607168198630804,4.636862642408626
1997-08-01,100.1,103.73,100.3,103.66666666666667,4.606169696311185,4.641791379084149
1997-09-01,100.6,104.05,100.33333333333333,104.01,4.611152267605997,4.644871562450407
1997-10-01,100.3,104.25,100.39999999999999,103.97666666666667,4.60816570493798,4.646791870271237
1997-11-01,100.3,103.63,100.53333333333335,103.83666666666666,4.60816570493798,4.6408268728458415
1997-12-01,101.0,103.63,100.96666666666665,103.90666666666665,4.615120526742249,4.6408268728458415
1998-01-01,101.6,104.46,101.59999999999998,104.32,4.621043544986901,4.6488042325811945
1998-02-01,102.2,104.87,101.0,104.62666666666667,4.62693168755434,4.652721497381929
1998-03-01,99.2,104.55,101.0,105.42666666666666,4.597138024371472,4.649665435439444
1998-04-01,101.6,106.86,100.73333333333333,106.77,4.621043544986901,4.671519575887664
1998-05-01,101.4,108.9,101.0,108.18666666666667,4.619073101019016,4.690430039121651
1998-06-01,100.0,108.8,100.3,108.58,4.605170195988091,4.6895113436130185
1998-07-01,99.5,108.04,100.2,108.64999999999999,4.600157654214798,4.682501538180246
1998-08-01,101.1,109.11,100.53333333333335,108.89999999999999,4.616110135917623,4.69235655683207
1998-09-01,101.0,109.55,100.8,109.40333333333332,4.615120526742249,4.696381075169727
1998-10-01,100.3,109.55,100.46666666666665,109.47666666666665,4.60816570493798,4.696381075169727
1998-11-01,100.1,109.33,100.39999999999999,109.33,4.606169696311185,4.694370840593014
1998-12-01,100.8,109.11,100.86666666666667,109.21999999999998,4.613138365557903,4.69235655683207
1999-01-01,101.7,109.22,101.46666666666665,109.07666666666667,4.622027312887356,4.69336420587984
1999-02-01,101.9,108.9,100.96666666666665,109.04333333333334,4.623991950042222,4.690430039121651
1999-03-01,99.3,109.01,100.2,108.18666666666668,4.59814558112162,4.691439630313737
1999-04-01,99.4,106.65,99.43333333333334,106.80666666666667,4.599152123722891,4.669552454293824
1999-05-01,99.6,104.76,99.56666666666666,105.28333333333335,4.601162174630713,4.651672029185139
1999-06-01,99.7,104.44,99.63333333333333,104.58333333333333,4.602165686997883,4.6486127534058035
1999-07-01,99.6,104.55,99.63333333333333,103.99666666666667,4.601162174630713,4.649665435439444
1999-08-01,99.6,103.0,99.53333333333335,102.97000000000001,4.601162174630713,4.634728997938374
1999-09-01,99.4,101.36,99.33333333333333,101.46999999999998,4.599152123722891,4.6186785458787085
1999-10-01,99.0,100.05,99.60000000000001,100.58666666666666,4.5951198602356,4.605670071024745
1999-11-01,100.4,100.35,99.96666666666665,100.14999999999999,4.609162217217788,4.608664085207469
1999-12-01,100.5,100.05,100.43333333333334,99.72333333333331,4.610157737449379,4.605670071024745
2000-01-01,100.4,98.77,100.83333333333333,99.10000000000001,4.609162217217788,4.5927939250445675
2000-02-01,101.6,98.48,100.3,98.44666666666666,4.621043544986901,4.589853492030544
2000-03-01,98.9,98.09,99.93333333333334,98.18666666666667,4.59410924873989,4.585885434770943
2000-04-01,99.3,97.99,99.2,97.95666666666666,4.59814558112162,4.58486544285285
2000-05-01,99.4,97.79,99.39999999999999,97.79,4.599152123722891,4.582822332550178
2000-06-01,99.5,97.59,99.43333333333334,97.59333333333335,4.600157654214798,4.580775039400321
2000-07-01,99.4,97.4,99.66666666666667,97.62666666666667,4.599152123722891,4.57882622091543
2000-08-01,100.1,97.89,99.76666666666667,97.85666666666668,4.606169696311185,4.583844409488887
2000-09-01,99.8,98.28,100.0,98.51333333333332,4.603168193337458,4.587820557827988
2000-10-01,100.1,99.37,100.26666666666667,99.17333333333333,4.606169696311185,4.598850267306672
2000-11-01,100.9,99.87,100.36666666666667,99.57000000000001,4.614129937270366,4.60386935026806
2000-12-01,100.1,99.47,100.43333333333334,99.57000000000001,4.606169696311185,4.599856101217605
2001-01-01,100.3,99.37,100.26666666666667,99.01333333333334,4.60816570493798,4.598850267306672
2001-02-01,100.4,98.2,100.0,98.72000000000001,4.609162217217788,4.587006225543719
2001-03-01,99.3,98.59,99.73333333333333,98.52666666666669,4.59814558112162,4.590969846729966
2001-04-01,99.5,98.79,99.53333333333335,98.85666666666668,4.600157654214798,4.592996395178865
2001-05-01,99.8,99.19,99.76666666666667,99.22333333333331,4.603168193337458,4.597037212839564
2001-06-01,100.0,99.69,99.86666666666667,99.65666666666668,4.605170195988091,4.602065381065709
2001-07-01,99.8,100.09,99.93333333333332,99.92333333333333,4.603168193337458,4.606069791221936
2001-08-01,100.0,99.99,100.09999999999998,100.25666666666666,4.605170195988091,4.605070190988758
2001-09-01,100.5,100.69,100.16666666666667,100.42333333333333,4.610157737449379,4.612046499858996
2001-10-01,100.0,100.59,100.23333333333333,100.38999999999999,4.605170195988091,4.611052859087593
2001-11-01,100.2,99.89,100.39999999999999,100.42333333333333,4.607168198630804,4.604069590555071
2001-12-01,101.0,100.79,100.76666666666667,100.76,4.615120526742249,4.613039154288406
2002-01-01,101.1,101.6,101.43333333333334,101.93666666666667,4.616110135917623,4.621043544986901
2002-02-01,102.2,103.42,100.83333333333333,102.77666666666666,4.62693168755434,4.638798376637385
2002-03-01,99.2,103.31,100.46666666666665,103.52,4.597138024371472,4.637734186540959
2002-04-01,100.0,103.83,99.83333333333333,103.83,4.605170195988091,4.64275495594649
2002-05-01,100.3,104.35,100.13333333333333,104.21333333333332,4.60816570493798,4.647750643106344
2002-06-01,100.1,104.46,100.10000000000001,104.45666666666666,4.606169696311185,4.6488042325811945
2002-07-01,99.9,104.56,100.03333333333335,104.56333333333333,4.604169695664518,4.649761078879854
2002-08-01,100.1,104.67,100.06666666666666,104.52666666666666,4.606169696311185,4.650812553420629
2002-09-01,100.2,104.35,100.2,104.56333333333333,4.607168198630804,4.647750643106344
2002-10-01,100.3,104.67,100.26666666666667,104.59666666666665,4.60816570493798,4.650812553420629
2002-11-01,100.3,104.77,100.3,104.49333333333334,4.60816570493798,4.651767480909591
2002-12-01,100.3,104.04,100.5,104.21666666666665,4.60816570493798,4.644775450192139
2003-01-01,100.9,103.84,101.13333333333333,103.90666666666668,4.614129937270366,4.64285126258598
2003-02-01,102.2,103.84,100.83333333333333,103.91000000000001,4.62693168755434,4.64285126258598
2003-03-01,99.4,104.05,100.53333333333335,103.98,4.599152123722891,4.644871562450407
2003-04-01,100.0,104.05,99.76666666666667,103.91000000000001,4.605170195988091,4.644871562450407
2003-05-01,99.9,103.63,99.86666666666667,103.63333333333333,4.604169695664518,4.6408268728458415
2003-06-01,99.7,103.22,99.76666666666667,103.28666666666668,4.602165686997883,4.636862642408626
2003-07-01,99.7,103.01,99.76666666666667,103.01333333333334,4.602165686997883,4.634826080603397
2003-08-01,99.9,102.81,99.89999999999999,102.83999999999999,4.604169695664518,4.632882634281307
2003-09-01,100.1,102.7,99.93333333333334,102.56666666666668,4.606169696311185,4.631812126671611
2003-10-01,99.8,102.19,100.16666666666667,102.46333333333332,4.603168193337458,4.626833835409811
2003-11-01,100.6,102.5,100.39999999999999,102.56666666666666,4.611152267605997,4.62986280833456
2003-12-01,100.8,103.01,100.83333333333333,102.90666666666668,4.613138365557903,4.634826080603397
2004-01-01,101.1,103.21,101.63333333333333,103.41333333333334,4.616110135917623,4.636765757266826
2004-02-01,103.0,104.02,101.63333333333333,104.24000000000001,4.634728997938374,4.644583197958462
2004-03-01,100.8,105.49,101.43333333333334,105.17333333333333,4.613138365557903,4.658616171173289
2004-04-01,100.5,106.01,100.73333333333335,106.19,4.610157737449379,4.663533438718079
2004-05-01,100.9,107.07,100.73333333333333,107.11333333333334,4.614129937270366,4.673482835509863
2004-06-01,100.8,108.26,100.73333333333333,108.15000000000002,4.613138365557903,4.684535750605853
2004-07-01,100.5,109.12,100.63333333333333,109.09000000000002,4.610157737449379,4.692448203259374
2004-08-01,100.6,109.89,100.46666666666665,109.70666666666666,4.611152267605997,4.6994798745588415
2004-09-01,100.3,110.11,100.3,110.11,4.60816570493798,4.701479875207327
2004-10-01,100.0,110.33,100.16666666666667,110.11000000000001,4.605170195988091,4.7034758838359325
2004-11-01,100.2,109.89,100.26666666666667,109.96333333333332,4.607168198630804,4.6994798745588415
2004-12-01,100.6,109.67,100.63333333333333,109.74333333333334,4.611152267605997,4.6974758658903815
2005-01-01,101.1,109.67,101.39999999999999,109.49333333333334,4.616110135917623,4.6974758658903815
2005-02-01,102.5,109.14,101.23333333333333,109.06333333333333,4.62986280833456,4.692631470920629
2005-03-01,100.1,108.38,101.06666666666666,108.67,4.606169696311185,4.685643579364763
2005-04-01,100.6,108.49,100.39999999999999,108.31,4.611152267605997,4.686658012051798
2005-05-01,100.5,108.06,100.5,108.06,4.610157737449379,4.682686637670038
2005-06-01,100.4,107.63,100.43333333333334,107.73666666666666,4.609162217217788,4.678699428567296
2005-07-01,100.4,107.52,100.4,107.48666666666666,4.609162217217788,4.677676886075434
2005-08-01,100.4,107.31,100.53333333333335,107.56,4.609162217217788,4.6757218512578325
2005-09-01,100.8,107.85,100.53333333333335,107.81333333333333,4.613138365557903,4.6807413821073025
2005-10-01,100.4,108.28,100.53333333333335,108.20666666666666,4.609162217217788,4.684720473981416
2005-11-01,100.4,108.49,100.53333333333335,108.49333333333333,4.609162217217788,4.686658012051798
2005-12-01,100.8,108.71,100.8,108.67333333333333,4.613138365557903,4.688683795414694
2006-01-01,101.2,108.82,101.36666666666667,108.63999999999999,4.617098766734788,4.689695150247267
2006-02-01,102.1,108.39,100.93333333333332,108.31666666666666,4.625952734964939,4.685735843053602
2006-03-01,99.5,107.74,100.60000000000001,107.81333333333333,4.600157654214798,4.679720926533991
2006-04-01,100.2,107.31,100.10000000000001,107.49000000000001,4.607168198630804,4.6757218512578325
2006-05-01,100.6,107.42,100.39999999999999,107.38333333333333,4.611152267605997,4.6767463937865665
2006-06-01,100.4,107.42,100.46666666666668,107.42,4.609162217217788,4.6767463937865665
2006-07-01,100.4,107.42,100.4,107.42,4.609162217217788,4.6767463937865665
2006-08-01,100.4,107.42,100.36666666666667,107.24333333333334,4.609162217217788,4.6767463937865665
2006-09-01,100.3,106.89,100.3,106.99333333333334,4.60816570493798,4.671800277641267
2006-10-01,100.2,106.67,100.36666666666667,106.81666666666666,4.607168198630804,4.669739966012099
2006-11-01,100.6,106.89,100.43333333333334,106.71,4.611152267605997,4.671800277641267
2006-12-01,100.5,106.57,100.73333333333333,106.63999999999999,4.610157737449379,4.668802055616369
2007-01-01,101.1,106.46,101.26666666666665,106.53333333333332,4.616110135917623,4.667769337137811
2007-02-01,102.2,106.57,101.03333333333332,106.63999999999999,4.62693168755434,4.668802055616369
2007-03-01,99.8,106.89,100.83333333333333,106.89,4.603168193337458,4.671800277641267
2007-04-01,100.5,107.21,100.36666666666667,107.17333333333333,4.610157737449379,4.674789537195636
2007-05-01,100.8,107.42,100.73333333333333,107.52999999999999,4.613138365557903,4.6767463937865665
2007-06-01,100.9,107.96,100.86666666666667,107.95666666666666,4.614129937270366,4.681760797412494
2007-07-01,100.9,108.49,100.8,108.38666666666666,4.614129937270366,4.686658012051798
2007-08-01,100.6,108.71,100.66666666666667,108.71,4.611152267605997,4.688683795414694
2007-09-01,100.5,108.93,100.60000000000001,109.03666666666668,4.610157737449379,4.690705483274561
2007-10-01,100.7,109.47,100.8,109.50666666666667,4.612145809655003,4.695650548251389
2007-11-01,101.2,110.12,101.60000000000001,110.78000000000002,4.617098766734788,4.7015706893554094
2007-12-01,102.9,112.75,102.16000000000001,112.35000000000001,4.6337576525581765,4.725172987251967
2008-01-01,102.38,114.18,102.94666666666667,114.21,4.62869139079697,4.7377761592942145
2008-02-01,103.56,115.7,102.97666666666667,116.42666666666666,4.640151164539574,4.751000642842674
2008-03-01,102.99,119.4,102.91666666666667,118.83999999999999,4.634631905847391,4.782479209333711
2008-04-01,102.2,121.42,103.03333333333335,121.99333333333334,4.62693168755434,4.799255617938163
2008-05-01,103.91,125.16,102.75,124.42666666666666,4.643525149488268,4.829592926790454
2008-06-01,102.14,126.7,102.39333333333333,126.28333333333332,4.626344431009981,4.8418220952197535
2008-07-01,101.13,126.99,101.61,127.29666666666667,4.616406827802342,4.844108351075578
2008-08-01,101.56,128.2,100.95666666666666,127.66333333333331,4.620649766682874,4.853591552286882
2008-09-01,100.18,127.8,100.51666666666667,127.55666666666666,4.606968577911503,4.850466549768161
2008-10-01,99.81,126.67,99.74333333333334,126.22666666666665,4.603268388717531,4.84158528739007
2008-11-01,99.24,124.21,99.45666666666666,123.58999999999999,4.597541168900182,4.821973689606984
2008-12-01,99.32,119.89,99.62666666666667,120.52666666666666,4.598346970708431,4.7865746640605416
2009-01-01,100.32,117.48,100.27,117.38,4.608365086852713,4.766268114842506
2009-02-01,101.17,114.77,100.44,114.5,4.616802280102152,4.742930134405655
2009-03-01,99.83,111.25,100.45,111.74999999999999,4.603468749365363,4.711779930035114
2009-04-01,100.35,109.23,100.20666666666666,108.68666666666665,4.608664085207469,4.693455760010446
2009-05-01,100.44,105.58,100.44666666666666,106.25,4.609560544245577,4.659468968866961
2009-06-01,100.55,103.94,100.50333333333333,104.27666666666664,4.6106551261639614,4.643813819201231
2009-07-01,100.52,103.31,100.43666666666667,103.07333333333332,4.61035672262366,4.637734186540959
2009-08-01,100.24,101.97,100.46,102.56666666666666,4.60756732056387,4.62467866218294
2009-09-01,100.62,102.42,100.41000000000001,102.46,4.611351055001554,4.629082015798122
2009-10-01,100.37,102.99,100.51333333333332,103.25333333333333,4.608863367788845,4.634631905847391
2009-11-01,100.55,104.35,100.76666666666665,104.61999999999999,4.6106551261639614,4.647750643106344
2009-12-01,101.38,106.52,101.09666666666665,106.16333333333331,4.618875842908082,4.66833277033364
2010-01-01,101.36,107.62,101.56666666666666,107.53333333333332,4.6186785458787085,4.678606513353227
2010-02-01,101.96,108.46,101.35666666666667,108.51333333333332,4.624580589315682,4.686381450632903
2010-03-01,100.75,109.46,100.94999999999999,109.05,4.612642210752351,4.695559194851529
2010-04-01,100.14,109.23,100.38666666666666,109.24666666666666,4.606569216887818,4.693455760010446
2010-05-01,100.27,109.05,100.21,108.99,4.607866557508906,4.6918065018177435
2010-06-01,100.22,108.69,100.18333333333334,108.64333333333332,4.607367779509627,4.688499802775574
2010-07-01,100.06,108.19,100.17,108.35333333333331,4.605770016054063,4.683888949942481
2010-08-01,100.23,108.18,100.53333333333335,108.42999999999999,4.6074675550138275,4.683796515687134
2010-09-01,101.31,108.92,100.86333333333334,108.92,4.61818513293628,4.690613676986609
2010-10-01,101.05,109.66,101.40666666666665,109.88999999999999,4.615615453745721,4.697384679094998
2010-11-01,101.86,111.09,101.63,110.83333333333333,4.623599331273855,4.7103406925953415
2010-12-01,101.98,111.75,101.86,111.67,4.624776725432854,4.716264242442224
2011-01-01,101.74,112.17,101.93666666666667,112.07666666666665,4.622420549223595,4.720015586572171
2011-02-01,102.09,112.31,102.0,112.79,4.625854786976203,4.7212629138788715
2011-03-01,102.17,113.89,102.52666666666666,114.57,4.626638102390941,4.735233079066662
2011-04-01,103.32,117.51,102.56666666666666,117.05999999999999,4.637830977906308,4.766523444855764
2011-05-01,102.21,119.78,102.20666666666666,119.36999999999999,4.627029530124763,4.785656735184955
2011-06-01,101.09,120.82,101.49000000000001,120.92,4.616011219058142,4.7943018429873705
2011-07-01,101.17,122.16,101.06333333333335,121.99999999999999,4.616802280102152,4.805331669096362
2011-08-01,100.93,123.02,100.97333333333331,122.53333333333332,4.614427217158625,4.812346951908982
2011-09-01,100.82,122.42,100.70333333333333,122.34333333333332,4.613336758573151,4.807457763591524
2011-10-01,100.36,121.59,100.52333333333333,121.27999999999999,4.608763731462351,4.800654737532687
2011-11-01,100.39,119.83,100.42666666666666,119.84999999999998,4.609062610664586,4.7860740800395805
2011-12-01,100.53,118.13,100.63999999999999,118.40999999999998,4.610456200364608,4.771785721425679
