Model,MAE_CPI_MOM,MAPE_CPI_MOM,RMSE_CPI_MOM,sMAPE_CPI_MOM,MAE_CPI_YOY,MAPE_CPI_YOY,RMSE_CPI_YOY,sMAPE_CPI_YOY
ARIMA,0.21268731724295384,0.21188383395822577,0.29928009472540373,0.21203221060678937,0.6269035246672559,0.6062591879921341,0.7053390242111764,0.6049660386885162
Exponential Smoothing,0.20405246569463742,0.20366611693248385,0.2462688701658336,0.20357077229427922,0.8875073342602905,0.8608376482619511,1.1997865804921466,0.8544687749648829
Prophet,0.2881679566325867,0.2873098891924348,0.33964177552702046,0.28760095045513523,0.9209559830093959,0.8858602324582509,1.1658035612434656,0.8921501923910471
SARIMA,0.17329293140316557,0.17278572212015164,0.19004597887787203,0.17281378906968076,0.21356822237256287,0.20670456596929024,0.2591562432672117,0.2064467456823298
SARIMAX,0.21920792698060274,0.21854276694544617,0.2531933939228938,0.21869540217421482,0.2062756142771273,0.1996673118711774,0.25741162371874277,0.19945353204456664
