time,cpi,oil_price,gold_price,interest_rate,cpi_smoothed,cpi_log,month,year,cpi_diff,cpi_rolling_mean,cpi_rolling_std
1996-07-01,99.3,20.42,393.1,24.68,99.46666666666665,4.598145571051127,7,1996,-0.20000000000000284,100.325,0.8465169278230158
1996-08-01,99.6,22.25,391.3,24.61,99.73333333333333,4.601162164590552,8,1996,0.29999999999999716,100.26666666666667,0.872127319034365
1996-09-01,100.3,24.38,380.5,23.27,100.0,4.60816569496789,9,1996,0.7000000000000028,100.25,0.8691688820100234
1996-10-01,100.1,23.35,379.1,23.89,100.43333333333334,4.6061696863211745,10,1996,-0.20000000000000284,100.24999999999999,0.8691688820100234
1996-11-01,100.9,23.75,373.0,23.920350877192984,100.66666666666667,4.6141299273595635,11,1996,0.8000000000000114,100.31666666666666,0.8871131252380984
1996-12-01,101.0,25.92,369.2,23.950701754385964,100.90000000000002,4.61512051684126,12,1996,0.09999999999999432,100.375,0.9086703572703512
1997-01-01,100.8,24.15,346.0,23.981052631578947,101.19999999999999,4.613138355637268,1,1997,-0.20000000000000284,100.36666666666666,0.9038637601816467
1997-02-01,101.8,20.3,365.1,24.01140350877193,100.69999999999999,4.623010104116422,2,1997,1.0,100.30833333333332,0.7656943768814591
1997-03-01,99.5,20.41,354.0,24.041754385964914,100.23333333333333,4.600157644164547,3,1997,-2.299999999999997,100.19999999999999,0.7816067367347228
1997-04-01,99.4,20.21,341.2,24.07210526315789,99.46666666666665,4.599152113662528,4,1997,-0.09999999999999432,100.14166666666667,0.8151501070169289
1997-05-01,99.5,20.88,347.5,24.10245614035088,99.66666666666667,4.600157644164547,5,1997,0.09999999999999432,100.14166666666667,0.8151501070169289
1997-06-01,100.1,19.8,335.3,24.13280701754386,99.93333333333334,4.6061696863211745,6,1997,0.5999999999999943,100.19166666666666,0.7902339507827462
1997-07-01,100.2,20.14,328.6,24.16315789473684,100.13333333333333,4.607168188650764,7,1997,0.10000000000000853,100.26666666666667,0.7389591369356039
1997-08-01,100.1,19.61,327.4,24.193508771929825,100.3,4.6061696863211745,8,1997,-0.10000000000000853,100.30833333333334,0.711539091538816
1997-09-01,100.6,21.18,336.9,24.223859649122808,100.33333333333333,4.611152257665639,9,1997,0.5,100.33333333333333,0.7164728420068254
1997-10-01,100.3,21.08,312.1,24.25421052631579,100.39999999999999,4.60816569496789,10,1997,-0.29999999999999716,100.35000000000001,0.7128687243678331
1997-11-01,100.3,19.15,296.9,24.28456140350877,100.53333333333335,4.60816569496789,11,1997,0.0,100.3,0.6915069183904251
1997-12-01,101.0,17.64,289.9,24.314912280701755,100.96666666666665,4.61512051684126,12,1997,0.7000000000000028,100.3,0.6915069183904251
1998-01-01,101.6,17.21,304.6,24.34526315789474,101.60000000000001,4.6210435351443815,1,1998,0.5999999999999943,100.36666666666667,0.7773303186177842
1998-02-01,102.2,15.44,300.1,24.37561403508772,101.0,4.626931677769604,2,1998,0.6000000000000085,100.40000000000002,0.8495988358149892
1998-03-01,99.2,15.61,303.3,24.4059649122807,101.0,4.597138014290827,3,1998,-3.0,100.375,0.8822749519900772
1998-04-01,101.6,15.39,307.9,24.436315789473685,100.73333333333335,4.6210435351443815,4,1998,2.3999999999999915,100.55833333333334,0.8897990920665322
1998-05-01,101.4,15.2,295.1,24.46666666666667,101.0,4.619073091157083,5,1998,-0.19999999999998863,100.71666666666665,0.8526251796479493
1998-06-01,100.0,14.18,298.1,24.49701754385965,100.3,4.605170185988092,6,1998,-1.4000000000000057,100.70833333333333,0.8596599045640969
1998-07-01,99.5,14.21,290.5,24.527368421052632,100.2,4.600157644164547,7,1998,-0.5,100.64999999999999,0.9189915421512084
1998-08-01,101.1,13.34,278.9,24.557719298245612,100.53333333333335,4.616110126026426,8,1998,1.5999999999999943,100.73333333333333,0.9098784467602187
1998-09-01,101.0,16.14,299.0,24.5880701754386,100.8,4.61512051684126,9,1998,-0.09999999999999432,100.76666666666667,0.9118745261905015
