time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2009-09-01,100.62,102.42,70.61,1009.3,8.64,100.41000000000001,102.46,4.611351045063173,4.6290820060344045,0.45000000000000284,9,2009,0.38000000000000966,100.20083333333334,0.5578604963010808,111.72666666666667,8.768023860839058
2009-10-01,100.37,102.99,77.0,1040.4,8.625,100.51333333333332,103.25333333333333,4.608863357825709,4.63463189613771,0.5699999999999932,10,2009,-0.25,100.2475,0.5454793554963374,109.75333333333333,7.698631913095592
2009-11-01,100.55,104.35,77.28,1182.3,8.629,100.76666666666665,104.61999999999999,4.610655116218661,4.647750633523209,1.3599999999999994,11,2009,0.1799999999999926,100.35666666666667,0.4478703816818989,108.09833333333334,6.31945600842547
2009-12-01,101.38,106.52,79.36,1096.2,8.63,101.09666666666665,106.16333333333331,4.6188758330442035,4.668332760945732,2.1700000000000017,12,2009,0.8299999999999983,100.52833333333332,0.4073603125520404,106.98416666666667,5.115414243127174
2010-01-01,101.36,107.62,72.89,1083.8,8.64,101.56666666666666,107.53333333333332,4.618678536012884,4.678606504061274,1.1000000000000085,1,2010,-0.01999999999999602,100.615,0.4654909431792654,106.16250000000001,3.9310214379286927
2010-02-01,101.96,108.46,79.66,1118.9,8.763,101.35666666666667,108.51333333333332,4.6245805795079145,4.686381441412914,0.8399999999999892,2,2010,0.5999999999999943,100.68083333333333,0.5902612415985476,105.63666666666666,2.982580741369507
2010-03-01,100.75,109.46,83.76,1114.5,8.66,100.94999999999999,109.05,4.612642200826793,4.695559185715772,1.0,3,2010,-1.2099999999999937,100.7575,0.5259471974881199,105.4875,2.7084887601089944
2010-04-01,100.14,109.23,86.15,1180.7,9.37,100.38666666666666,109.24666666666666,4.606569206901798,4.693455750855452,-0.22999999999998977,4,2010,-0.6099999999999994,100.74000000000001,0.5439251285376431,105.48750000000001,2.7084887601089944
2010-05-01,100.27,109.05,73.97,1215.0,9.865,100.21,108.99,4.607866547535834,4.691806492647638,-0.18000000000000682,5,2010,0.12999999999999545,100.72583333333334,0.5545589292949374,105.77666666666666,2.8978748744345735
2010-06-01,100.22,108.69,75.63,1245.9,10.354,100.18333333333334,108.64333333333332,4.607367769531579,4.688499793575096,-0.35999999999999943,6,2010,-0.04999999999999716,100.69833333333334,0.5719795503868451,106.17250000000001,2.948164683324258
2010-07-01,100.06,108.19,78.95,1183.9,10.63,100.17,108.35333333333331,4.605770006060059,4.683888940699482,-0.5,7,2010,-0.1599999999999966,100.66000000000001,0.5997575267632816,106.57916666666665,2.8524358277646815
2010-08-01,100.23,108.18,71.92,1250.3,10.658,100.53333333333335,108.42999999999999,4.607467545036775,4.683796506443281,-0.009999999999990905,8,2010,0.1700000000000017,100.65916666666668,0.6004007500046757,107.09666666666665,2.479091964751896
2010-09-01,101.31,108.92,79.97,1309.6,10.636,100.86333333333334,108.92,4.618185123065586,4.690613667805559,0.7399999999999949,9,2010,1.0799999999999983,100.71666666666665,0.6286830872884699,107.63833333333334,2.0346401662360534
2010-10-01,101.05,109.66,81.43,1357.6,10.646,101.40666666666665,109.88999999999999,4.61561544384963,4.697384669975903,0.7399999999999949,10,2010,-0.2600000000000051,100.77333333333333,0.6252320781240434,108.19416666666666,1.4866096775326771
2010-11-01,101.86,111.09,84.11,1386.1,10.705,101.63,110.83333333333333,4.623599321456458,4.710340683593631,1.4300000000000068,11,2010,0.8100000000000023,100.88250000000001,0.6933466272036972,108.75583333333333,1.1334858408977309
2010-12-01,101.98,111.75,91.38,1421.4,10.77,101.86,111.67,4.62477671562701,4.716264233493678,0.6599999999999966,12,2010,0.12000000000000455,100.9325,0.751666330712963,109.19166666666666,1.199218179659035
2011-01-01,101.74,112.17,92.19,1334.5,11.145,101.93666666666667,112.07666666666665,4.622420539394619,4.720015577657132,0.4200000000000017,1,2011,-0.2400000000000091,100.96416666666669,0.7788273041549052,109.57083333333334,1.3649672545746658
2011-02-01,102.09,112.31,96.97,1409.9,11.623,102.0,112.79,4.625854777180924,4.721262904974945,0.14000000000000057,2,2011,0.3500000000000085,100.97500000000001,0.7946811824992553,109.89166666666667,1.5234042818835416
2011-03-01,102.17,113.89,106.72,1439.9,11.722,102.52666666666666,114.57,4.626638092603332,4.7352330702862595,1.5799999999999983,3,2011,0.0799999999999983,101.09333333333335,0.8610810682281214,110.26083333333332,1.8996002370516227
2011-04-01,103.32,117.51,113.93,1556.4,11.902,102.56666666666666,117.05999999999999,4.6378309682276395,4.7665234363458495,3.6200000000000045,4,2011,1.1499999999999915,101.35833333333333,1.0163466957987235,110.95083333333332,2.7874375927245256
2011-05-01,102.21,119.78,102.7,1536.8,12.054,102.20666666666666,119.36999999999999,4.627029520340985,4.785656726836316,2.269999999999996,5,2011,-1.1099999999999994,101.52,0.9811774003255127,111.84500000000001,3.6953840986241544
2011-06-01,101.09,120.82,95.42,1502.8,12.207,101.49000000000001,120.92,4.616011209165967,4.794301834710595,1.039999999999992,6,2011,-1.1199999999999903,101.59249999999999,0.9056200788814242,112.85583333333334,4.354200601578729
2011-07-01,101.17,122.16,95.7,1631.2,12.4,101.06333333333335,121.99999999999999,4.616802270217799,4.805331660910377,1.3400000000000034,7,2011,0.0799999999999983,101.685,0.7832856207264839,114.02,4.834382540248063
2011-08-01,100.93,123.02,88.81,1831.7,12.29,100.97333333333331,122.53333333333332,4.614427207250769,4.812346943780222,0.8599999999999994,8,2011,-0.23999999999999488,101.74333333333334,0.6849729036892,115.25666666666666,5.09568504330938
