Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
cpi,ARIMA,0.37343851271395834,0.31810967734233486,0.31733294371032505,0.31705936591705364,0.003165600096866734,63.63636363636363
cpi,Exponential Smoothing,0.26794151920501197,0.22867972527051114,0.2282214555007381,0.22817029552406534,0.0022766557206228603,36.36363636363637
cpi,Prophet,0.28871012756175435,0.22966747230140191,0.22897939499397924,0.22885466536467497,0.002284216654275603,36.36363636363637
cpi,SARIMA,0.30074455549410434,0.23611727180896125,0.23569070517143637,0.23537127278672182,0.0023511662873627196,45.45454545454545
