date,Naive,SeasonalNaive,MovingAverage,Drift,SES,Holt,HoltWinters,ETS,Theta,ARIMA,SARIMA,Prophet,RandomForest,XGBoost,LightGBM,SVR,GradientBoosting,ElasticNet,KNN,LSTM,GRU,BiLSTM,CNN-LSTM,ARIMA-LSTM,SimpleAverage,WeightedAverage,Stacking
2024-01-01,100.12,100.52,100.295,100.10939481268012,100.23107767345039,100.21593604604783,100.5784653296666,100.57845940467448,100.52190303882126,100.27347966165638,100.40410577145701,100.40410577145701,100.29916744533917,100.4091,100.4536644965502,100.83415542840113,100.39051569003195,100.91964340589678,100.48341954001573,100.25681971989572,100.50800980448723,100.51781091094017,100.3934394878149,100.39496990127166,100.42136028058792,100.42557057811926,100.40596075349495
2024-02-01,100.12,100.45,100.295,100.09878962536024,100.23107767345039,100.20807218220446,101.15569467618343,101.15561194194677,101.15113302389342,100.24382173227264,100.72775493958916,100.72775493958916,100.42960849057235,100.61882,100.69836125533494,100.83415542840113,100.58699728247777,101.15438079638896,100.53982769841032,100.24558179341257,100.36407975301147,100.65236399054528,100.1257583451271,100.71861906940381,100.56388603450021,100.61701268307225,100.61542402507517
2024-03-01,100.12,99.77,100.295,100.08818443804034,100.23107767345039,100.20020831836108,100.28483982459149,100.28506825013918,99.70503431569148,100.27306004960491,99.96507636393959,99.96507636393959,99.93709601827224,99.86035,99.84254363075907,100.83415542840113,99.81010476790553,99.74670920436074,99.92009063048447,100.18243506759404,100.09536266744136,101.01221485972405,100.10872469067573,99.95594049375424,100.10368144248461,100.01255201987169,99.85767413204273
2024-04-01,100.12,99.66,100.295,100.07757925072046,100.23107767345039,100.19234445451771,100.1719944884649,100.17214520732483,99.89517663666517,100.31038951137833,99.89355394020393,99.89355394020393,100.07875955369931,100.045685,100.12250346826625,100.83415542840113,100.05313241031622,100.04787551599172,100.03792946482567,100.1399364760518,99.97271764099597,101.34312237620355,100.20209011867642,99.88441807001858,100.15313085170123,100.08724426299474,100.04303909493115
2024-05-01,100.12,100.01,100.295,100.06697406340058,100.23107767345039,100.18448059067433,100.38194235658156,100.3820887243212,100.06165689833,100.23346430625512,100.22144753170878,100.22144753170878,99.99182299527784,99.974915,100.1149189537069,100.83415542840113,100.03263066991501,100.02885308288256,100.11665227414002,100.25446415923535,100.07045455157755,101.38063071608545,100.6331659141183,100.21231166152343,100.25227310975315,100.16747297169887,99.972222106296
2024-06-01,100.12,100.27,100.295,100.0563688760807,100.23107767345039,100.17661672683094,100.28544104104789,100.28559949465159,99.95908619378781,100.32943722512282,100.35297353384182,100.35297353384182,100.1164409934109,100.19009,100.28120342016248,100.83415542840113,100.19844779102021,100.1490481100944,100.20057175395303,100.42936204493046,100.1027146077156,101.40319787144662,100.84323843300344,100.34383766365647,100.32528661588317,100.25473357268586,100.18708762485763
2024-07-01,100.12,100.45,100.295,100.04576368876081,100.23107767345039,100.16875286298757,100.06956963985472,100.06970675354361,99.81056457633561,100.23979219331154,100.33750798859776,100.33750798859776,100.42113609349153,100.41759,100.51749268206446,100.83415542840113,100.46768221934914,100.45893010834224,100.27398608432478,100.56946727663279,100.00016893982887,101.39130010008813,100.74156334578991,100.32837211841242,100.35821187676828,100.32768901915016,100.41499656160768
2024-08-01,100.12,100.88,100.295,100.03515850144093,100.23107767345039,100.16088899914419,100.08337714227874,100.08345630982261,99.99265347121865,100.29932199456343,100.3855307821657,100.3855307821657,100.01533085087601,99.959305,99.98025776091067,100.83415542840113,99.96267132019526,99.97888246341871,100.27418553326902,100.72940149664879,99.95647272408007,101.34777846932413,100.7360213315487,100.37639491198036,100.2959521981864,100.18710304744515,99.95664436783261
2024-09-01,100.12,101.08,100.295,100.02455331412104,100.23107767345039,100.15302513530081,100.17202806429937,100.17211775334238,100.11053730865818,100.28550135447027,100.43454636022517,100.43454636022517,100.28404452742708,100.271255,100.35339051054846,100.83415542840113,100.28809364948555,100.26912137977234,100.41635796804476,100.76955205380916,99.8382598942518,101.1996049642563,103.23807981014257,100.42541049003982,100.48751081222649,100.3458365660609,100.26860937415952
2024-10-01,100.12,100.08,100.295,100.01394812680115,100.23107767345039,100.14516127145744,99.9628565309722,99.96299972924562,99.90058733546651,100.2500031378644,100.20035521329872,100.20035521329872,100.33209278673135,100.328575,100.41472979395098,100.83415542840113,100.3424449527151,100.30969110816821,100.2222809571499,100.73775677621364,99.56227409958838,100.97715539813042,103.5623072814942,100.19121934311337,100.38237613715789,100.25637517004628,100.32595159458683
2024-11-01,100.12,100.25,100.295,100.00334293948127,100.23107767345039,100.13729740761406,100.00876473199006,100.0088944519471,100.05371592456036,100.32520976297963,100.2889501014669,100.2889501014669,100.16191109392615,100.15149,100.19556719605109,100.83415542840113,100.14616309556507,100.11045051074805,100.28827811861277,100.89582984626294,99.62577898681162,100.91206991016865,103.43546538829808,100.27981423128155,100.37700733995403,100.22478179317085,100.1487688103519
2024-12-01,100.12,100.12,100.295,99.99273775216139,100.23107767345039,100.12943354377069,100.09435913351356,100.07603787614383,100.23499282073983,100.2302313450124,100.19848146026116,100.19848146026116,100.24733901406492,100.28642,100.32979988573408,100.83415542840113,100.30823249750757,100.26937169328752,100.34566824631948,100.9371431106329,99.67075014591215,100.88631342232227,103.4741828680039,100.18934559007582,100.40414823737785,100.2703000846471,100.28356185860235
