Model,CV_RMSE_Mean,CV_RMSE_Std,CV_MAE_Mean,CV_MAE_Std,CV_SMAPE_Mean,CV_SMAPE_Std
LSTM,1.8882419120228637,0.9291759272821145,1.5456530811206708,0.8594046377995366,1.458121384530222,0.7901749937543742
GRU,1.1367702621810376,0.29772120388564377,0.8684504295555314,0.20733131520014747,0.8205007504320081,0.18155554493732332
MLP,1.6634141363787447,0.7187825736091414,1.316312519795185,0.5957873593565808,1.2427713880880542,0.5512886537499357
BiLSTM,2.510838000827566,0.7068264728825582,2.032602669380806,0.5742489752351121,1.9451447238603645,0.5376256293718287
Conv1D,2.3143127343174905,0.47683098811140645,1.909810249947212,0.34250702594310883,1.811412166468811,0.2953746292184193
Transformer,1.694510348870864,0.43693691036749804,1.3931554779877529,0.4024600544517093,1.3197406457308067,0.38768720310110383
