Model,RMSE,MAE,SMAPE,R2,EVS,MaxError
LSTM,1.2043000878765293,0.9150225684756323,0.8876333212821927,0.07023996327114468,0.13642967248847082,3.4508404541015665
GRU,1.0554506002554531,0.7728628976004466,0.7502670289169097,0.28587002663146976,0.30957903477655446,2.7724383544921807
MLP,0.9801005155105939,0.7573506188771079,0.7345022284047544,0.38419576058773375,0.4685280851519642,2.7568743896484307
BiLSTM,1.4089349546354193,1.0837139989459328,1.0508336026996132,-0.27257482289831025,0.07238989626413028,4.8023114013671915
Conv1D,1.4980663725320291,1.1433967517671133,1.1074673753129474,-0.4386778260206097,-0.1570045718855797,4.53997467041016
Transformer,1.424659157406562,1.0960102480933784,1.061612214642616,-0.30113807915612334,-0.27425008153892527,3.884283142089842
Weighted Ensemble,1.116071984318203,0.8213516059754387,0.7965949583374968,0.20147990023946305,0.30144108634852207,3.272787551879887
