loss,val_loss,lr
0.8754767775535583,0.15974172949790955,0.001
0.7190567851066589,0.15690068900585175,0.001
0.6044014096260071,0.1578628420829773,0.001
0.5265417695045471,0.15459193289279938,0.001
0.5171431303024292,0.15031911432743073,0.001
0.4906914532184601,0.1465427130460739,0.001
0.44725754857063293,0.13975554704666138,0.001
0.42505136132240295,0.13668113946914673,0.001
0.3970359265804291,0.13475778698921204,0.001
0.3749365210533142,0.13454054296016693,0.001
0.36855632066726685,0.13263463973999023,0.001
0.3428969979286194,0.13014855980873108,0.001
0.34448161721229553,0.1307285726070404,0.001
0.33055517077445984,0.1279991865158081,0.001
0.31105566024780273,0.12401819229125977,0.001
0.30959177017211914,0.11917135864496231,0.001
0.3152114152908325,0.11737960577011108,0.001
0.3124387562274933,0.12068876624107361,0.001
0.2887921929359436,0.1188804879784584,0.001
0.29224058985710144,0.11969363689422607,0.001
0.27807801961898804,0.1167876124382019,0.001
0.2686896324157715,0.11637844890356064,0.001
0.2542208433151245,0.1173708438873291,0.001
0.26224252581596375,0.11167791485786438,0.001
0.25169670581817627,0.11325526237487793,0.001
0.24095027148723602,0.11142003536224365,0.001
0.241729736328125,0.11400715261697769,0.001
0.24194848537445068,0.11503585427999496,0.001
0.2258763611316681,0.11209297180175781,0.001
0.222207173705101,0.1091807410120964,0.001
0.21319659054279327,0.10730838775634766,0.001
0.21162119507789612,0.10811775922775269,0.001
0.20295965671539307,0.1072239950299263,0.001
0.20426364243030548,0.10865527391433716,0.001
0.2091566026210785,0.10381601005792618,0.001
0.2052994817495346,0.10067055374383926,0.001
0.1904337853193283,0.09872174263000488,0.001
0.18773695826530457,0.09923233836889267,0.001
0.19723863899707794,0.09630894660949707,0.001
0.19115155935287476,0.09494253993034363,0.001
0.19365890324115753,0.09437597543001175,0.001
0.18112491071224213,0.09355451911687851,0.001
0.17843420803546906,0.09294959902763367,0.001
0.16919778287410736,0.09206799417734146,0.001
0.1772531419992447,0.0894230306148529,0.001
0.16567762196063995,0.08974643796682358,0.001
0.17473921179771423,0.08938271552324295,0.001
0.17678803205490112,0.09201280027627945,0.001
0.16607153415679932,0.09252560138702393,0.001
0.1682709902524948,0.089055635035038,0.001
