Model,RMSE,MAE,MAPE,R2
LSTM,1.0853131616206244,0.8230719039019412,0.8010841342853391,0.2080396698767618
GRU,0.9471231376970577,0.6961502838134758,0.677192653223448,0.3968765964116381
MLP,0.7910647751150376,0.6298138472613168,0.6117367638131237,0.5792565328065404
BiLSTM,1.072858989077986,0.8421177269430719,0.8180014218045026,0.2261111719044422
Conv1D,1.3054683148691024,1.0616939410041357,1.0326479335477428,-0.14584522556651414
Transformer,1.3808952346192678,1.0739138614430144,1.0478602273732118,-0.28207889269689357
