Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
cpi_mom,ARIMA,0.36539706521579324,0.3026430007130898,0.30193364659674343,0.30165368122443015,0.003011982209406134,63.63636363636363
cpi_mom,Exponential Smoothing,0.2462688701658336,0.20405246569463742,0.20366611693248385,0.20357077229427922,0.0020317004340982487,36.36363636363637
cpi_mom,Prophet,0.27170827675080345,0.22035489510448514,0.21971359391710776,0.21965232556488398,0.0021917843324260706,36.36363636363637
cpi_mom,SARIMA,0.3598803939308368,0.2944406762212613,0.29368748810905126,0.293411597136603,0.002929721477815513,27.27272727272727
cpi_mom,SARIMAX,0.3598803939308368,0.2944406762212613,0.29368748810905126,0.293411597136603,0.002929721477815513,27.27272727272727
cpi_yoy,ARIMA,0.5328102178939603,0.4669974546769069,0.45043481648576267,0.4494285590519962,0.004346078473771128,54.54545454545454
cpi_yoy,Exponential Smoothing,1.1997865804921466,0.8875073342602905,0.8608376482619511,0.8544687749648829,0.008305903175318334,54.54545454545454
cpi_yoy,Prophet,1.156846778111107,0.9276435324126631,0.8913254044273934,0.8973883381773832,0.00860006822636385,36.36363636363637
cpi_yoy,SARIMA,0.2110960209521528,0.17191619604180394,0.16546480975587385,0.16566343363033548,0.0015965085768838837,54.54545454545454
cpi_yoy,SARIMAX,0.2110960209521528,0.17191619604180394,0.16546480975587385,0.16566343363033548,0.0015965085768838837,54.54545454545454
