Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
cpi_mom,ARIMA,0.3427217123884999,0.27434349060058594,0.27367540169507265,0.2734713489189744,0.002730087930058515,63.63636363636363
cpi_mom,Exponential Smoothing,0.30603623812340186,0.26154837012290955,0.2611494390293956,0.2607067348435521,0.0026051334062901325,54.54545454545454
cpi_mom,Prophet,0.241323722695468,0.17311160266399384,0.17264924244955182,0.17256411956623197,0.0017222870964137293,72.72727272727273
cpi_mom,SARIMA,0.3147078246719396,0.23979313671588898,0.23910650052130222,0.23898498620837927,0.0023852409351683805,54.54545454545454
cpi_mom,SARIMAX,0.3147078246719396,0.23979313671588898,0.23910650052130222,0.23898498620837927,0.0023852409351683805,54.54545454545454
cpi_mom,Linear Regression,0.3183652725141539,0.2440967559814453,0.24344390258193016,0.2433394780382514,0.002428509306897035,36.36363636363637
cpi_mom,XGBoost,0.3028299611453565,0.21250088512897491,0.21161623299121857,0.21184617653489113,0.0021110078579056235,0.0
cpi_mom,ARIMA-XGBoost Hybrid,0.3102930339074332,0.22306124866008759,0.2222780603915453,0.22238281089812517,0.002217366434956077,63.63636363636363
cpi_mom,SARIMA-LSTM Hybrid,0.3301124329202556,0.2515341341495514,0.25081983767449856,0.25068207178264856,0.0025020889974515866,36.36363636363637
cpi_mom,ETS-Gradient Boosting Hybrid,0.2593199125643157,0.22507476806640625,0.22467924281954765,0.22441307082772255,0.002241319772099113,54.54545454545454
cpi_mom,SARIMA-GRU Hybrid,0.3171740857938092,0.23695246875286102,0.23624442983418703,0.23615250829607248,0.0023566899415844796,54.54545454545454
cpi_mom,Weighted Ensemble,0.2558139877248115,0.20778782665729523,0.20729443058371544,0.20711764227598906,0.002067895102737483,45.45454545454545
cpi_mom,Stacking Ensemble,0.333564684224746,0.26831626892089844,0.26764655485749245,0.26746855583041906,0.0026699463101631767,54.54545454545454
cpi_mom,Voting Ensemble,0.29610680020442637,0.22757339477539062,0.22690023761242628,0.22683567367494106,0.0022634756218364474,54.54545454545454
cpi_mom,BMA Ensemble,0.26962542616253854,0.21799278259277344,0.217402633279562,0.21729832515120506,0.002168730917734343,45.45454545454545
cpi_mom,DES Ensemble,0.3166008692174307,0.24326197803020477,0.24257327895611525,0.24247749242931604,0.002419824276975678,45.45454545454545
cpi_mom,Temporal Weighted Ensemble,0.27193856154024004,0.21934573352336884,0.2187505131587386,0.2186463912948966,0.0021821768853533432,54.54545454545454
cpi_mom,Rank-Based Ensemble,0.2313414634432881,0.19621849060058594,0.1956895925104618,0.1955824438482523,0.001952129388472182,54.54545454545454
