Case,Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
none_ffill_mean_trendFalse_logFalse_exogFalse,cpi,SARIMA,0.3064407467878757,0.24130542790734566,0.2408775083097455,0.24053552406148151,0.002402907982772851,45.45454545454545
none_ffill_mean_trendFalse_logFalse_exogFalse,cpi,Exponential Smoothing,0.26794151920501197,0.22867972527051114,0.2282214555007381,0.22817029552406534,0.0022766557206228603,36.36363636363637
none_ffill_mean_trendFalse_logFalse_exogFalse,cpi,Prophet,0.28871012756175435,0.22966747230140191,0.22897939499397924,0.22885466536467497,0.002284216654275603,36.36363636363637
