Case,Target,Model,RMSE,MAE,MAPE,sMAPE,NormMAPE,DirAcc
rolling_mean_mean_advanced_diracc_trendFalse_logTrue,cpi,ARIMA,95.81882288740388,95.81880767409888,2075.11036702866,182.41842105554466,449.3982800110254,63.63636363636363
rolling_mean_mean_advanced_diracc_trendFalse_logTrue,cpi,SARIMA,95.65465726615021,95.65448107758216,2071.5503491009276,182.39083540259085,448.62730129155506,45.45454545454545
rolling_mean_mean_advanced_diracc_trendFalse_logTrue,cpi,SARIMAX,95.65465726615021,95.65448107758216,2071.5503491009276,182.39083540259085,448.62730129155506,45.45454545454545
rolling_mean_mean_advanced_diracc_trendFalse_logTrue,cpi,Exponential Smoothing,95.76016949598215,95.75992518179307,2073.833126406426,182.40850417504691,449.12167316258376,36.36363636363637
rolling_mean_mean_advanced_diracc_trendFalse_logTrue,cpi,Prophet,94.8998193085701,94.8799560755072,2054.7981503908954,182.25321717069215,444.9993452048283,36.36363636363637
